replicate,inference_route,calibration,route_valid,route_reason,beta_hat,se,ucb,lcb,beta_min,p_infer_less,p_infer_greater,p_rand_less,p_rand_greater,p_seq_less,p_seq_greater,log_e_seq_less,log_e_seq_greater,n_evalue_terms,n_evalue_participants,evalue_fold_term_counts,evalue_fold_participant_counts,infer_neg_pass,infer_pos_pass,magnitude_neg_pass,magnitude_pos_pass,component_disagreement,sigma_tau_design,sigma_tau_eff,N,N_eligible,N_estimable,N_nonestimable,nonestimable_fraction,nonestimable_reasons,median_leverage_fraction,min_leverage_fraction_estimable,estimability_summary_max_smd,estimability_summary_fired,estimability_information_sufficient,estimability_support_passed,estimability_opposite_passed,estimability_adequacy_passed,estimability_conclusion_changing,nonestimable_abs_bound_sum,support_ucb_upper,eligible_lcb_lower,eligible_ucb_upper,nbar_ret,sigma_blind,leak_excursion,leak_fired,delivery_p99_ms,delivery_fired,retention_imbalance,retention_fired,balance_fired,gate_required,gate_audited,gate_passed,gate_applicable,collider_inter_z,collider_inter_p,collider_inter_valid,collider_inter_fired,collider_smd,collider_smd_min_p,collider_smd_valid,collider_smd_fired,collider_rank_z,collider_invalid,collider_fired,decision
0,sequential_evalue,martingale_evalue,True,ok,-97.49077315182721,4.742920949980808,-87.88446924765071,-104.89195689186668,39.170632680854666,2.24394585166222e-33,1.0,,,2.24394585166222e-33,1.0,75.1770722117095,-4.04900611797474,2234,24,"[456, 466, 471, 462, 379]","[5, 5, 5, 5, 4]",True,False,True,False,False,0.007071067811865475,0.006953633679347516,24,24,24,0,0.0,{},0.7897844405745207,0.702714758733066,0.0,False,True,True,False,False,False,0.0,-87.88446924765071,-104.89195689186668,-87.88446924765071,93.08333333333333,1.3139485569493417,0.02543819405550866,False,1.2519206105746443,False,0.011111111111111072,False,False,0.6462513508057111,0.011111111111111072,True,True,0.6847024330481652,0.4935317134105218,True,False,0.1469528129743542,0.20277920256394324,True,False,-15.888352116646946,False,False,supported
1,sequential_evalue,martingale_evalue,True,ok,-91.44964112772631,5.035844424133029,-80.69926110792566,-99.11862755602327,39.75234032721171,6.4900399674823155e-25,1.0,,,6.4900399674823155e-25,1.0,55.69435863583634,-3.9354366206366143,2231,24,"[490, 457, 446, 462, 376]","[5, 5, 5, 5, 4]",True,False,True,False,False,0.007071067811865475,0.006995262995981094,24,24,24,0,0.0,{},0.7874879218088942,0.6895779219092398,0.0,False,True,True,False,False,False,0.0,-80.69926110792566,-99.11862755602327,-80.69926110792566,92.95833333333333,1.3405435193022113,0.0021842472942162046,False,1.278175941278413,False,0.02777777777777779,False,False,0.6138670187638364,0.02777777777777779,True,True,-0.7170877391940035,0.473319960551029,True,False,0.26952029885738565,0.024778024044428238,True,False,-15.648485321494416,False,False,supported
2,sequential_evalue,martingale_evalue,True,ok,-90.96051108383915,4.638243858877219,-83.02902141818397,-99.08018176802243,40.01584475044663,5.258748456512492e-28,1.0,,,5.258748456512492e-28,1.0,62.81248954141917,-3.7607248714893067,2199,24,"[444, 463, 478, 451, 363]","[5, 5, 5, 5, 4]",True,False,True,False,False,0.007071067811865475,0.006927022085119224,24,24,24,0,0.0,{},0.7578216963921108,0.7100165412489661,0.0,False,True,True,False,False,False,0.0,-83.02902141818397,-99.08018176802243,-83.02902141818397,91.625,1.3266475517603311,0.0031286536023899187,False,1.2478788873365518,False,0.02256944444444453,False,False,0.6158804608091526,0.02256944444444453,True,True,-0.45887638156296,0.6463229402911708,True,False,0.22741904630902735,0.12909654568645962,True,False,-13.63933313441171,False,False,supported
3,sequential_evalue,martingale_evalue,True,ok,-94.21854484935746,3.390680027348336,-89.03913867181609,-100.50888286468076,39.983089341847965,2.6472959885503968e-27,1.0,,,2.6472959885503968e-27,1.0,61.19625877346399,-3.9967007986576704,2210,24,"[446, 464, 458, 468, 374]","[5, 5, 5, 5, 4]",True,False,True,False,False,0.007071067811865475,0.0070334426553758655,24,24,24,0,0.0,{},0.7727151741081945,0.7022909920522414,0.0,False,True,True,False,False,False,0.0,-89.03913867181609,-100.50888286468076,-89.03913867181609,92.08333333333333,1.3492884992444867,0.03110432159057924,False,1.3030984763052464,False,0.03541666666666665,False,False,0.6230916894686104,0.03541666666666665,True,True,0.051459514248011755,0.9589593620337146,True,False,0.12124937330239766,0.35457049607277513,True,False,-16.59951215942063,False,False,supported
4,sequential_evalue,martingale_evalue,True,ok,-87.19684663619796,5.025529227792897,-78.85480041636862,-96.46340516001943,38.569032846354,1.336391428073378e-25,1.0,,,1.336391428073378e-25,1.0,57.27465430756357,-3.8259934834590403,2189,24,"[449, 457, 457, 470, 356]","[5, 5, 5, 5, 4]",True,False,True,False,False,0.007071067811865475,0.00704746819636571,24,24,24,0,0.0,{},0.7731229554988713,0.6400884327890853,0.0,False,True,True,False,False,False,0.0,-78.85480041636862,-96.46340516001943,-78.85480041636862,91.20833333333333,1.2979535111824652,0.025797502038995057,False,1.298400056968049,False,0.012499999999999956,False,False,0.6077186018477885,0.012499999999999956,True,True,-0.8093078368701725,0.41833809955974643,True,False,0.20705119099282823,0.027145256558369735,True,False,-14.416069584218048,False,False,supported
5,sequential_evalue,martingale_evalue,True,ok,-89.42410067307952,4.704867197086589,-80.20157029473071,-96.85945934233419,38.302528098792536,3.0391599355277483e-30,1.0,,,3.0391599355277483e-30,1.0,67.9659716495888,-3.8176322982806394,2213,24,"[456, 473, 465, 456, 363]","[5, 5, 5, 5, 4]",True,False,True,False,False,0.007071067811865475,0.0069607562527029,24,24,24,0,0.0,{},0.7714062935074517,0.6439665748975673,0.0,False,True,True,False,False,False,0.0,-80.20157029473071,-96.8594593423342,-80.20157029473071,92.20833333333333,1.2800854359758034,0.003766425062010796,False,1.2043548146341874,False,0.029861111111111116,False,False,0.6232577629144125,0.029861111111111116,True,True,0.3886807977757844,0.697512288794167,True,False,0.17918635728578083,0.04516975229693458,True,False,-14.49806387240862,False,False,supported
6,sequential_evalue,martingale_evalue,True,ok,-88.99171953963703,3.868056109255571,-82.48802525195404,-95.89791265151298,38.97514421588871,7.744229324317697e-25,1.0,,,7.744229324317697e-25,1.0,55.51767936215447,-3.8302695444814407,2222,24,"[473, 449, 465, 469, 366]","[5, 5, 5, 5, 4]",True,False,True,False,False,0.007071067811865475,0.006924795833233841,24,24,24,0,0.0,{},0.7773576478931339,0.6910840586909529,0.0,False,True,True,False,False,False,0.0,-82.48802525195404,-95.89791265151298,-82.48802525195404,92.58333333333333,1.2984675930758034,0.011509005931539244,False,1.281606416361645,False,0.009027777777777746,False,False,0.6157167716811769,0.009027777777777746,True,True,0.6338880253852476,0.5261539009147277,True,False,0.13663822563704192,0.10473738689747698,True,False,-12.55409596755046,False,False,supported
7,sequential_evalue,martingale_evalue,True,ok,-91.3907632840827,4.2960922377826005,-84.18654468920955,-98.99947855499845,39.72612131303871,5.2144997788404095e-25,1.0,,,5.2144997788404095e-25,1.0,55.91318416068444,-3.924926479638086,2220,24,"[464, 458, 460, 467, 371]","[5, 5, 5, 5, 4]",True,False,True,False,False,0.007071067811865475,0.006968208015090551,24,24,24,0,0.0,{},0.7829825887960886,0.72039683519163,0.0,False,True,True,False,False,False,0.0,-84.18654468920955,-98.99947855499845,-84.18654468920955,92.5,1.3311841622208764,0.011448233670016041,False,1.3012150501224915,False,0.036111111111111205,False,False,0.6163989230067184,0.036111111111111205,True,True,-1.835292843996411,0.06646231080216937,True,False,0.17951483239163823,0.006034576189380091,True,False,-15.05441881535051,False,False,supported
8,sequential_evalue,martingale_evalue,True,ok,-91.99024241376247,3.8481963438808067,-84.4325701241655,-97.91412092106454,38.849927128051704,4.575341179673575e-26,1.0,,,4.575341179673575e-26,1.0,58.34653114710623,-3.9573144275638974,2229,24,"[454, 458, 459, 488, 370]","[5, 5, 5, 5, 4]",True,False,True,False,False,0.007071067811865475,0.007006337679706271,24,24,24,0,0.0,{},0.7851452992002739,0.6770677724682449,0.0,False,True,True,False,False,False,0.0,-84.4325701241655,-97.91412092106454,-84.4325701241655,92.875,1.311597834987327,0.0028447869614461473,False,1.3572313886465937,False,0.01909722222222232,False,False,0.6248119292705258,0.01909722222222232,True,True,0.45837957763442494,0.646679761294807,True,False,0.15809542538192753,0.40889180739908404,True,False,-15.452815158987866,False,False,supported
9,sequential_evalue,martingale_evalue,True,ok,-85.91559205280207,2.4111546826337227,-81.1144843171723,-89.64937217395348,37.995173757111345,9.544398454859853e-24,1.0,,,9.544398454859853e-24,1.0,53.00608779868109,-3.740257895314085,2223,24,"[468, 463, 446, 470, 376]","[5, 5, 5, 5, 4]",True,False,True,False,False,0.007071067811865475,0.006898080545028518,24,24,24,0,0.0,{},0.7767964230348361,0.7013708441365648,0.0,False,True,True,False,False,False,0.0,-81.1144843171723,-89.6493721739535,-81.1144843171723,92.625,1.2612198891161002,0.021776408844961518,False,1.2572242776194527,False,0.025000000000000022,False,False,0.613297395477837,0.025000000000000022,True,True,-0.3259486076217831,0.7444632385862391,True,False,0.0816976908826503,0.21968172960393156,True,False,-12.683263109201599,False,False,supported
10,sequential_evalue,martingale_evalue,True,ok,-91.23906083906478,5.114917100983078,-83.64089545108156,-101.08515003621928,38.91023326500168,1.2853971889022389e-27,1.0,,,1.2853971889022389e-27,1.0,61.91872974383053,-3.850721024681711,2213,24,"[467, 476, 458, 447, 365]","[5, 5, 5, 5, 4]",True,False,True,False,False,0.007071067811865475,0.006914936456204686,24,24,24,0,0.0,{},0.777786284361005,0.7163721857811906,0.0,False,True,True,False,False,False,0.0,-83.64089545108156,-101.08515003621928,-83.64089545108156,92.20833333333333,1.2918352129658874,0.008553702833888828,False,1.2488599552128803,False,0.017013888888888884,False,False,0.627531286661771,0.017013888888888884,True,True,1.0258317238719261,0.3049709098494917,True,False,0.1893215280825234,0.06980001871124346,True,False,-14.889511898116334,False,False,supported
11,sequential_evalue,martingale_evalue,True,ok,-94.8085386503587,4.471053859070148,-87.66142052282635,-102.9286031968526,39.20674983479797,6.262525616568409e-26,1.0,,,6.262525616568409e-26,1.0,58.032628860972565,-3.958715482445238,2185,24,"[447, 468, 449, 455, 366]","[5, 5, 5, 5, 4]",True,False,True,False,False,0.007071067811865475,0.006967219883150522,24,24,24,0,0.0,{},0.7700498628218091,0.6896574925014983,0.0,False,True,True,False,False,False,0.0,-87.66142052282635,-102.92860319685262,-87.66142052282635,91.04166666666667,1.3031981736894684,0.006125457065569036,False,1.26808350707424,False,0.017013888888888884,False,False,0.6388830857419927,0.017013888888888884,True,True,-1.081547853792133,0.2794534861270428,True,False,0.2023724831959266,0.024125753185367815,True,False,-15.356926744308428,False,False,supported
12,sequential_evalue,martingale_evalue,True,ok,-89.79456192721591,3.6012239237170163,-82.23082406693243,-95.70170040381744,38.66107454118535,7.11217552528708e-28,1.0,,,7.11217552528708e-28,1.0,62.51057442576775,-3.8861299967408316,2214,24,"[474, 475, 468, 446, 351]","[5, 5, 5, 5, 4]",True,False,True,False,False,0.007071067811865475,0.007020700377411118,24,24,24,0,0.0,{},0.782210603486474,0.7013648652386915,0.0,False,True,True,False,False,False,0.0,-82.23082406693243,-95.70170040381744,-82.23082406693243,92.25,1.3034895427057418,0.030301777314632784,False,1.2213901076977476,False,0.020486111111111205,False,False,0.6177487682355678,0.020486111111111205,True,True,-1.2291184749586719,0.21902738925543597,True,False,0.0982418855234292,0.1860262144048859,True,False,-14.860730555109095,False,False,supported
13,sequential_evalue,martingale_evalue,True,ok,-90.94624453192705,4.851133485583504,-83.52592099997464,-100.46262648577544,38.59394331118074,5.063483776717441e-29,1.0,,,5.063483776717441e-29,1.0,65.1529129570084,-3.867942997356047,2232,24,"[469, 463, 471, 469, 360]","[5, 5, 5, 5, 4]",True,False,True,False,False,0.007071067811865475,0.006966425459298586,24,24,24,0,0.0,{},0.7811208736509543,0.714630232099302,0.0,False,True,True,False,False,False,0.0,-83.52592099997464,-100.46262648577544,-83.52592099997464,93.0,1.2964047921616613,0.0017732544670531914,False,1.2337983789959406,False,0.023263888888888973,False,False,0.624904610021086,0.023263888888888973,True,True,-0.4512548384947956,0.6518058900050763,True,False,0.14047953863032955,0.3316576546227023,True,False,-16.005573465088368,False,False,supported
14,sequential_evalue,martingale_evalue,True,ok,-91.10759952977726,5.17262870233025,-83.32233924122323,-102.39766459177524,38.17696185654447,1.711666789592006e-27,1.0,,,1.711666789592006e-27,1.0,61.63232988431066,-3.913871505237988,2243,24,"[479, 474, 460, 455, 375]","[5, 5, 5, 5, 4]",True,False,True,False,False,0.007071067811865475,0.0070162704552524146,24,24,24,0,0.0,{},0.7774626336646124,0.7147959707722925,0.0,False,True,True,False,False,False,0.0,-83.32233924122323,-102.39766459177524,-83.32233924122323,93.45833333333333,1.2947523432685435,0.04005764949775942,False,1.2762599477480612,False,0.018402777777777768,False,False,0.6260933289306153,0.018402777777777768,True,True,1.4098346276316664,0.15858851925819806,True,False,0.09938472562160575,0.26715869654964564,True,False,-15.047391623206261,False,False,supported
15,sequential_evalue,martingale_evalue,True,ok,-97.97620142652646,4.96304968014241,-89.17539252304107,-106.29983201701441,40.799454890469136,1.0075908071239269e-25,1.0,,,1.0075908071239269e-25,1.0,57.557065182933634,-4.0581015804896685,2223,24,"[452, 453, 479, 457, 382]","[5, 5, 5, 5, 4]",True,False,True,False,False,0.007071067811865475,0.006942582865693472,24,24,24,0,0.0,{},0.7825837178663024,0.696536703272206,0.0,False,True,True,False,False,False,0.0,-89.17539252304107,-106.29983201701441,-89.17539252304107,92.625,1.3630429712618584,0.015431094191164839,False,1.297710243990408,False,0.014236111111111116,False,False,0.6343080304724487,0.014236111111111116,True,True,1.0296819511357926,0.3031593309236471,True,False,0.2977390989877014,0.017345474269076,True,False,-15.135089310933413,False,False,supported
16,sequential_evalue,martingale_evalue,True,ok,-90.51575933996997,3.8415917985325363,-84.44557551252188,-97.22082715529943,38.69069992613883,4.3592289058841535e-30,1.0,,,4.3592289058841535e-30,1.0,67.60525760454996,-3.9100626178435105,2227,24,"[456, 465, 464, 468, 374]","[5, 5, 5, 5, 4]",True,False,True,False,False,0.007071067811865475,0.006998697742658365,24,24,24,0,0.0,{},0.7812750301702164,0.7282730605535116,0.0,False,True,True,False,False,False,0.0,-84.44557551252188,-97.22082715529943,-84.44557551252188,92.79166666666667,1.3042123731227857,0.018891228757017667,False,1.3478712156807433,False,0.02881944444444451,False,False,0.6206892038931164,0.02881944444444451,True,True,-0.2723167821298734,0.7853784533825731,True,False,0.13778871818245325,0.21382891852232103,True,False,-15.567688822298402,False,False,supported
17,sequential_evalue,martingale_evalue,True,ok,-93.14430912268945,4.35298750799065,-86.72258945670417,-104.83718073116435,39.30252191499613,5.2873788799495e-27,1.0,,,5.2873788799495e-27,1.0,60.504474873594546,-3.929040975822228,2208,24,"[443, 464, 471, 455, 375]","[5, 5, 5, 5, 4]",True,False,True,False,False,0.007071067811865475,0.007033279381053844,24,24,24,0,0.0,{},0.7721657830613295,0.7048449741485231,0.0,False,True,True,False,False,False,0.0,-86.72258945670417,-104.83718073116434,-86.72258945670417,92.0,1.325690687898898,0.0035824772646933394,False,1.2819080062877284,False,0.03819444444444442,False,False,0.6255066148610623,0.03819444444444442,True,True,0.4814326958733637,0.6302090036183146,True,False,0.10891024850838077,0.36766020852892317,True,False,-15.577895768390517,False,False,supported
18,sequential_evalue,martingale_evalue,True,ok,-86.34429023909426,4.70203830972729,-78.48823349085656,-94.95195133916319,37.497635797844865,3.4144454852967303e-26,1.0,,,3.4144454852967303e-26,1.0,58.6391973142011,-3.766467940885041,2234,24,"[466, 478, 446, 470, 374]","[5, 5, 5, 5, 4]",True,False,True,False,False,0.007071067811865475,0.007033132376816275,24,24,24,0,0.0,{},0.7878388357684118,0.6946542433964696,0.0,False,True,True,False,False,False,0.0,-78.48823349085656,-94.95195133916319,-78.48823349085656,93.08333333333333,1.2722095349497404,0.006286233161854249,False,1.3051692448845702,False,0.02951388888888884,False,False,0.611818856101611,0.02951388888888884,True,True,1.1455192352336985,0.25199413203621246,True,False,0.2097514790223111,0.018291119764455542,True,False,-14.041030699588287,False,False,supported
19,sequential_evalue,martingale_evalue,True,ok,-91.626065115245,4.533070280659057,-83.5016578017101,-99.48416051585001,39.54310871019038,1.1715885336438143e-25,1.0,,,1.1715885336438143e-25,1.0,57.4062667758482,-3.923758691015606,2230,24,"[459, 463, 452, 484, 372]","[5, 5, 5, 5, 4]",True,False,True,False,False,0.007071067811865475,0.006916843363919017,24,24,24,0,0.0,{},0.7818994970670559,0.6960664073058361,0.0,False,True,True,False,False,False,0.0,-83.5016578017101,-99.48416051585001,-83.5016578017101,92.91666666666667,1.3182432755107854,0.002940026825375259,False,1.2844063784225848,False,0.015972222222222165,False,False,0.6212761086016498,0.015972222222222165,True,True,0.299434743804212,0.7646083558102609,True,False,0.04960405678431358,0.8445890616623609,True,False,-15.44799200414611,False,False,supported
20,sequential_evalue,martingale_evalue,True,ok,-89.1832840154202,3.1550113654721366,-83.75104703747459,-94.68498574465711,39.71502725995663,7.55076279245062e-24,1.0,,,7.55076279245062e-24,1.0,53.2403936415869,-3.8496133874891085,2211,24,"[450, 461, 471, 455, 374]","[5, 5, 5, 5, 4]",True,False,True,False,False,0.007071067811865475,0.006943345334456435,24,24,24,0,0.0,{},0.7802253003189557,0.7004524215593014,0.0,False,True,True,False,False,False,0.0,-83.75104703747459,-94.68498574465711,-83.75104703747459,92.125,1.3233733531231886,0.022533684455987257,False,1.2878579340665461,False,0.01041666666666674,False,False,0.6089788544391761,0.01041666666666674,True,True,-0.038231886679438755,0.9695027975797331,True,False,0.09184890027688906,0.5401864751009543,True,False,-14.697995695495502,False,False,supported
21,sequential_evalue,martingale_evalue,True,ok,-93.80116531715267,3.658737857653773,-86.91447294570334,-99.47813679197981,38.42643966493201,9.523793478388146e-31,1.0,,,9.523793478388146e-31,1.0,69.12634463876147,-3.968383800235519,2206,24,"[462, 455, 474, 450, 365]","[5, 5, 5, 5, 4]",True,False,True,False,False,0.007071067811865475,0.006969096452013029,24,24,24,0,0.0,{},0.7748595018103179,0.6872171270804429,0.0,False,True,True,False,False,False,0.0,-86.91447294570334,-99.47813679197981,-86.91447294570334,91.91666666666667,1.283730206070803,0.008253213397052305,False,1.224735956110778,False,0.019444444444444486,False,False,0.640531246626358,0.019444444444444486,True,True,2.486940733981813,0.012884686178067454,True,False,0.137700542654241,0.10639452366242304,True,False,-16.64410513362734,False,False,supported
22,sequential_evalue,martingale_evalue,True,ok,-79.16402489441491,6.422907396643429,-68.45613601159285,-90.03113591745816,37.13767519984068,4.033445335612255e-28,1.0,,,4.033445335612255e-28,1.0,63.077761671124186,-3.5715544511864143,2265,24,"[456, 473, 478, 487, 371]","[5, 5, 5, 5, 4]",True,False,True,False,False,0.007071067811865475,0.00700237596305761,24,24,24,0,0.0,{},0.7914517193340529,0.7448590913687492,0.0,False,True,True,False,False,False,0.0,-68.45613601159285,-90.03113591745814,-68.45613601159285,94.375,1.2631607573034773,0.015666280021985737,False,1.2419253717669143,False,0.025000000000000022,False,False,0.579163458553852,0.025000000000000022,True,True,1.8468335667969014,0.06477126536730568,True,False,0.18190132154182806,0.07966338812637365,True,False,-12.72626289569224,False,False,supported
23,sequential_evalue,martingale_evalue,True,ok,-92.79309894791606,4.567420265054282,-84.90727448215969,-100.40869100925089,40.024693467206006,7.372721133785887e-26,1.0,,,7.372721133785887e-26,1.0,57.869425562177966,-3.8422466475931762,2225,24,"[451, 469, 465, 465, 375]","[5, 5, 5, 5, 4]",True,False,True,False,False,0.007071067811865475,0.006968645334501583,24,24,24,0,0.0,{},0.7879812217569759,0.6860651354251017,0.0,False,True,True,False,False,False,0.0,-84.90727448215969,-100.40869100925089,-84.90727448215969,92.70833333333333,1.342782793556729,0.008705264712192563,False,1.3054254616332404,False,0.023958333333333304,False,False,0.6189943210858295,0.023958333333333304,True,True,0.24211286765757245,0.8086927078296366,True,False,0.2983639172687123,0.0025593277376579375,True,False,-16.107290980554023,False,False,supported
24,sequential_evalue,martingale_evalue,True,ok,-98.5913741361317,5.892310658482166,-86.6892214031998,-107.1150436827724,40.954886169945965,1.1847265192832093e-26,1.0,,,1.1847265192832093e-26,1.0,59.69770045530816,-3.9568733041255135,2226,24,"[464, 465, 464, 453, 380]","[5, 5, 5, 5, 4]",True,False,True,False,False,0.007071067811865475,0.006861355703444163,24,24,24,0,0.0,{},0.7828184125279806,0.7076802224034555,0.0,False,True,True,False,False,False,0.0,-86.6892214031998,-107.1150436827724,-86.6892214031998,92.75,1.3531396533199875,0.0005179738165823673,False,1.2499969828312196,False,0.028125000000000067,False,False,0.639456560981567,0.028125000000000067,True,True,0.6699912819436651,0.5028633477435097,True,False,0.15015248800271716,0.1581206000501634,True,False,-14.865714375088471,False,False,supported
25,sequential_evalue,martingale_evalue,True,ok,-89.01288728221232,3.3038750624366484,-82.99154469797189,-94.36938349859146,38.64847160851262,9.288647829656634e-25,1.0,,,9.288647829656634e-25,1.0,55.3358343337862,-3.873489734998487,2216,24,"[466, 468, 464, 466, 352]","[5, 5, 5, 5, 4]",True,False,True,False,False,0.007071067811865475,0.007005737234494288,24,24,24,0,0.0,{},0.773370507417131,0.7032955778724506,0.0,False,True,True,False,False,False,0.0,-82.99154469797189,-94.36938349859146,-82.99154469797189,92.33333333333333,1.3008745868063645,0.008752186457583565,False,1.2519025950362859,False,0.03298611111111105,False,False,0.615074697463148,0.03298611111111105,True,True,1.3452618751271044,0.17854068078660335,True,False,0.17777577055091667,0.09796678889583556,True,False,-15.92090726738305,False,False,supported
26,sequential_evalue,martingale_evalue,True,ok,-96.71893824859781,5.594991338283404,-86.92132005333588,-106.5292791948723,39.55683124318047,7.980233581336312e-29,1.0,,,7.980233581336312e-29,1.0,64.69800001494984,-4.011314156483119,2239,24,"[470, 460, 487, 459, 363]","[5, 5, 5, 5, 4]",True,False,True,False,False,0.007071067811865475,0.006914230265195886,24,24,24,0,0.0,{},0.7876770108159574,0.7059300440099139,0.0,False,True,True,False,False,False,0.0,-86.92132005333588,-106.5292791948723,-86.92132005333588,93.29166666666667,1.3208599242376604,0.020817402560796686,False,1.2769750175098122,False,0.02777777777777779,False,False,0.6413280602929338,0.02777777777777779,True,True,-1.3028781832788396,0.19261635328654814,True,False,0.159348455876076,0.13458557847313185,True,False,-15.162606603635849,False,False,supported
27,sequential_evalue,martingale_evalue,True,ok,-86.35958616847171,4.0415756841645445,-79.92829821504428,-93.99264641803255,38.017773681052866,2.2900842120101934e-24,1.0,,,2.2900842120101934e-24,1.0,54.43345364116351,-3.820978664057535,2209,24,"[460, 459, 466, 462, 362]","[5, 5, 5, 5, 4]",True,False,True,False,False,0.007071067811865475,0.007040094403540139,24,24,24,0,0.0,{},0.7796421261443716,0.6835538813069819,0.0,False,True,True,False,False,False,0.0,-79.92829821504428,-93.99264641803255,-79.92829821504428,92.04166666666667,1.2838887850248275,0.042167062515645795,False,1.277268909732061,False,0.01909722222222221,False,False,0.6082209091615953,0.01909722222222221,True,True,-1.1817955959103146,0.23728681572930355,True,False,0.21547309236096313,0.058340605877919526,True,False,-14.204561070072465,False,False,supported
28,sequential_evalue,martingale_evalue,True,ok,-90.54944689975561,5.947456243933891,-80.764405379229,-101.92617361781792,39.90359737608633,3.102230420351091e-27,1.0,,,3.102230420351091e-27,1.0,61.037676167621456,-3.7829154659863344,2238,24,"[463, 473, 461, 474, 367]","[5, 5, 5, 5, 4]",True,False,True,False,False,0.007071067811865475,0.006921837747556433,24,24,24,0,0.0,{},0.7975304537186381,0.7052921074417416,0.0,False,True,True,False,False,False,0.0,-80.764405379229,-101.92617361781792,-80.764405379229,93.25,1.3336070704017113,0.008458103548704455,False,1.2346719027922088,False,0.021180555555555536,False,False,0.6119874421376368,0.021180555555555536,True,True,-0.14232185203111736,0.8868257867912506,True,False,0.18016264118664263,0.03981929327520334,True,False,-14.519099728115764,False,False,supported
29,sequential_evalue,martingale_evalue,True,ok,-90.5019618615212,4.752723362944427,-83.09505731203458,-99.3879752337052,39.5970514382919,4.327580759044814e-25,1.0,,,4.327580759044814e-25,1.0,56.09961865513271,-3.867221585162725,2222,24,"[459, 463, 465, 459, 376]","[5, 5, 5, 5, 4]",True,False,True,False,False,0.007071067811865475,0.0069515454984392785,24,24,24,0,0.0,{},0.7842325681383906,0.7095562833601269,0.0,False,True,True,False,False,False,0.0,-83.09505731203458,-99.3879752337052,-83.09505731203458,92.58333333333333,1.3242824637668436,0.006591212172521577,False,1.2699748788543834,False,0.03749999999999998,False,False,0.6145795145386989,0.03749999999999998,True,True,0.25436241743437793,0.7992155828289013,True,False,0.3128935987693835,0.0006283416008018169,True,False,-15.709232634042543,False,False,supported
30,sequential_evalue,martingale_evalue,True,ok,-94.44478722913145,3.5897605872899856,-88.35109473264464,-100.32614235677377,40.397523501318304,2.3514348231548586e-33,1.0,,,2.3514348231548586e-33,1.0,75.1302823639206,-3.8990939949025734,2224,24,"[459, 456, 485, 452, 372]","[5, 5, 5, 5, 4]",True,False,True,False,False,0.007071067811865475,0.006863899975201691,24,24,24,0,0.0,{},0.7804749865734131,0.7033498450803869,0.0,False,True,True,False,False,False,0.0,-88.35109473264464,-100.32614235677379,-88.35109473264464,92.66666666666667,1.334619491708169,0.006347029815891134,False,1.2547514711363708,False,0.033333333333333326,False,False,0.6282878212290873,0.033333333333333326,True,True,0.9052471684654044,0.36533445828949773,True,False,0.09786420480330713,0.1696677296191504,True,False,-16.017469099760547,False,False,supported
31,sequential_evalue,martingale_evalue,True,ok,-93.1915814067208,4.830517420326453,-86.71790174703715,-104.4821073946086,38.99915626287226,2.0284544810735065e-32,1.0,,,2.0284544810735065e-32,1.0,72.97544881209443,-3.892190885475541,2225,24,"[471, 462, 461, 469, 362]","[5, 5, 5, 5, 4]",True,False,True,False,False,0.007071067811865475,0.006945801949957643,24,24,24,0,0.0,{},0.7799760883327878,0.703108721847889,0.0,False,True,True,False,False,False,0.0,-86.71790174703715,-104.4821073946086,-86.71790174703715,92.70833333333333,1.3040882991584943,0.014055349258165786,False,1.2764724796750184,False,0.013194444444444509,False,False,0.6320647154277406,0.013194444444444509,True,True,0.38086871531642796,0.7033006675385327,True,False,0.14380951961861654,0.21367816495335887,True,False,-15.166044460161416,False,False,supported
32,sequential_evalue,martingale_evalue,True,ok,-89.81899326892892,3.6604447437522776,-83.77733862423844,-96.23628921316556,38.875733435188444,2.477177602947528e-26,1.0,,,2.477177602947528e-26,1.0,58.96009256908173,-3.926538044822766,2233,24,"[473, 465, 464, 452, 379]","[5, 5, 5, 5, 4]",True,False,True,False,False,0.007071067811865475,0.006986908792541807,24,24,24,0,0.0,{},0.7801854649362232,0.7192292171976301,0.0,False,True,True,False,False,False,0.0,-83.77733862423844,-96.23628921316556,-83.77733862423844,93.04166666666667,1.3100033751115645,0.00663399346567586,False,1.2898847874344992,False,0.02083333333333337,False,False,0.6158790299818527,0.02083333333333337,True,True,0.4080870632301444,0.683209757380744,True,False,0.13228931926572285,0.32720607845984356,True,False,-14.75487028868984,False,False,supported
33,sequential_evalue,martingale_evalue,True,ok,-79.65012869160125,4.187539013284196,-71.28931618982257,-86.31342240078932,37.97332608051718,1.9492393154511492e-22,1.0,,,1.9492393154511492e-22,1.0,49.98943284404049,-3.568232184414189,2183,24,"[447, 459, 457, 471, 349]","[5, 5, 5, 5, 4]",True,False,True,False,False,0.007071067811865475,0.007026735321134545,24,24,24,0,0.0,{},0.7689960006918062,0.6595577091671289,0.0,False,True,True,False,False,False,0.0,-71.28931618982257,-86.31342240078932,-71.28931618982257,90.95833333333333,1.2723994861811279,0.006930986372082578,False,1.2726438309391825,False,0.045486111111111116,False,False,0.5786761473935537,0.045486111111111116,True,True,0.40526474973737237,0.6852829145751727,True,False,0.09487278872392813,0.22621057145364717,True,False,-12.796301418629737,False,False,supported
